0,1,2
0.0,0.99999845,-0.0010232487
0.01,0.9999965,-0.0012782372
0.02,0.99998873,-0.001645163
0.03,0.99996793,-0.0020943426
0.04,0.999924,-0.0025792848
0.049999997,0.99984396,-0.0030680408
0.06,0.99971235,-0.0035479749
0.07,0.9995109,-0.004013484
0.08,0.99921876,-0.0044582495
0.089999996,0.99881274,-0.004877504
0.099999994,0.9982669,-0.005275777
0.11,0.9975519,-0.005670712
0.12,0.996635,-0.0060894866
0.13,0.9954797,-0.006564288
0.14,0.99404657,-0.0071233665
0.14999999,0.99229413,-0.007790443
0.16,0.99017936,-0.008583158
0.17,0.98765874,-0.009517006
0.17999999,0.9846891,-0.010606523
0.19,0.98122704,-0.0118714925
0.19999999,0.9772304,-0.013336219
0.21,0.97265726,-0.015033827
0.22,0.96746707,-0.017003747
0.22999999,0.9616201,-0.019293021
0.24,0.95507866,-0.021957973
0.25,0.94780636,-0.025063232
0.26,0.93976885,-0.028679805
0.26999998,0.9309343,-0.032886848
0.28,0.9212734,-0.037766133
0.29,0.9107595,-0.043397933
0.29999998,0.89936984,-0.04985859
0.31,0.8870849,-0.05721526
0.32,0.8738896,-0.0655288
0.32999998,0.85977274,-0.07485351
0.34,0.84472555,-0.08524249
0.35,0.8287421,-0.096750624
0.35999998,0.8118163,-0.10943666
0.37,0.793941,-0.123361446
0.38,0.77510697,-0.13858259
0.39,0.7552998,-0.15515003
0.39999998,0.73450065,-0.17310253
0.41,0.7126858,-0.19246823
0.42,0.68982655,-0.2132667
0.42999998,0.66588914,-0.23551525
0.44,0.6408348,-0.2592313
0.45,0.6146188,-0.28443334
0.45999998,0.58718777,-0.311137
0.47,0.5584804,-0.33934745
0.48,0.52842534,-0.3690594
0.48999998,0.49693644,-0.40025273
0.5,0.46391279,-0.43289882
0.51,0.42923337,-0.46696928
0.52,0.39275232,-0.5024462
0.53,0.3542974,-0.53932196
0.53999996,0.31367174,-0.57758486
0.55,0.27066204,-0.6171809
0.56,0.22505407,-0.6579676
0.57,0.17663467,-0.6996855
0.58,0.1251666,-0.74196386
0.59,0.07033545,-0.78435826
0.59999996,0.01173243,-0.82633805
0.61,-0.05095001,-0.8671047
0.62,-0.11733448,-0.90525717
0.63,-0.18583,-0.93877316
0.64,-0.25428107,-0.96572715
0.65,-0.3210322,-0.984968
0.65999997,-0.3843124,-0.9961784
0.66999996,-0.44230977,-0.99998
0.68,-0.49440494,-0.9976216
0.69,-0.54098624,-0.99039567
0.7,-0.58270544,-0.9793902
0.71,-0.62017053,-0.9654662
0.71999997,-0.6539124,-0.94928414
0.72999996,-0.6843893,-0.9313384
0.74,-0.7119835,-0.9119969
0.75,-0.7370107,-0.891536
0.76,-0.75973284,-0.87016684
0.77,-0.7803717,-0.8480549
0.78,-0.79912007,-0.82533056
0.78999996,-0.81614864,-0.8020972
0.79999995,-0.83161026,-0.7784354
0.81,-0.8456428,-0.7544068
0.82,-0.85836834,-0.7300582
0.83,-0.86989737,-0.7054219
0.84,-0.88032705,-0.6805225
0.84999996,-0.8897442,-0.65537477
0.85999995,-0.8982265,-0.6299885
0.87,-0.9058431,-0.6043668
0.88,-0.91265833,-0.5785066
0.89,-0.91873044,-0.55239975
0.9,-0.92411345,-0.52603513
0.90999997,-0.9288574,-0.4993958
0.91999996,-0.9330082,-0.47246322
0.93,-0.9366075,-0.44521806
0.94,-0.9396923,-0.4176425
0.95,-0.9422956,-0.38971922
0.96,-0.9444456,-0.36143535
0.96999997,-0.94616544,-0.3327846
0.97999996,-0.94747394,-0.3037635
0.98999995,-0.94838506,-0.2743761
1.0,-0.94890857,-0.24463522
1.01,-0.9490496,-0.21455918
1.02,-0.94880915,-0.18417199
1.03,-0.9481849,-0.15350792
1.04,-0.94717,-0.12260406
1.05,-0.94575495,-0.091502
1.06,-0.9439266,-0.06024818
1.0699999,-0.9416692,-0.028893221
1.0799999,-0.93896496,0.0025159533
1.09,-0.9357931,0.0339292
1.1,-0.9321311,0.06529884
1.11,-0.92795515,0.09657737
1.12,-0.9232398,0.12772082
1.13,-0.9179583,0.15869185
1.14,-0.9120836,0.18944815
1.15,-0.9055876,0.21995647
1.16,-0.89844143,0.25018543
1.17,-0.8906166,0.28010398
1.18,-0.8820847,0.3096827
1.1899999,-0.87281597,0.33889544
1.1999999,-0.8627824,0.36771446
1.2099999,-0.8519553,0.39611384
1.22,-0.8403066,0.4240692
1.23,-0.82780915,0.45155123
1.24,-0.814436,0.47853577
1.25,-0.80016226,0.5049948
1.26,-0.78496283,0.530902
1.27,-0.76881564,0.5562286
1.28,-0.75170064,0.5809469
1.29,-0.733598,0.6050304
1.3,-0.7144945,0.6284524
1.31,-0.694379,0.6511841
1.3199999,-0.673243,0.6732038
1.3299999,-0.6510863,0.69448626
1.3399999,-0.62791157,0.71501046
1.35,-0.6037289,0.73475885
1.36,-0.57855636,0.7537158
1.37,-0.5524185,0.7718664
1.38,-0.52534646,0.7892029
1.39,-0.49738163,0.80571914
1.4,-0.46857154,0.8214113
1.41,-0.4389741,0.8362782
1.42,-0.40865016,0.85032696
1.43,-0.37767327,0.8635585
1.4399999,-0.34611538,0.8759865
1.4499999,-0.31405976,0.8876191
