t,x,y
0.0000000000,-0.0000010133,-0.0027910778
0.0000100000,-0.0000010133,-0.0027910778
0.0099999560,-0.0000019073,-0.0032489598
0.0199899729,-0.0000062585,-0.0047176117
0.0299805142,-0.0000184774,-0.0071946308
0.0399694294,-0.0000457764,-0.0106475381
0.0499581099,-0.0000989437,-0.0151269846
0.0599467903,-0.0001905560,-0.0205729976
0.0699354708,-0.0003376007,-0.0270264950
0.0799241513,-0.0005595088,-0.0344862752
0.0899128318,-0.0008770823,-0.0429100320
0.0999015123,-0.0013177991,-0.0523555204
0.1098901927,-0.0019065142,-0.0627528280
0.1198788732,-0.0026759505,-0.0741384625
0.1298675537,-0.0036596656,-0.0865043551
0.1398562342,-0.0048893690,-0.0997954682
0.1498449147,-0.0064064264,-0.1142244637
0.1598335952,-0.0082511306,-0.1296478808
0.1698222756,-0.0104587674,-0.1460838318
0.1798109561,-0.0130774379,-0.1635472775
0.1897996366,-0.0161505938,-0.1820738912
0.1997883171,-0.0197171569,-0.2014372498
0.2097769976,-0.0238204598,-0.2218632549
0.2197656780,-0.0285045505,-0.2433420122
0.2297543585,-0.0338147283,-0.2657306790
0.2397430390,-0.0397821665,-0.2892230451
0.2497317195,-0.0464452505,-0.3136380315
0.2597348988,-0.0538358688,-0.3390926421
0.2697384655,-0.0619810224,-0.3655648232
0.2797420323,-0.0709004402,-0.3930502832
0.2897455990,-0.0806153417,-0.4215436280
0.2997491658,-0.0911378860,-0.4510534108
0.3097527325,-0.1024695635,-0.4816024601
0.3197562993,-0.1145853996,-0.5131488442
0.3297598660,-0.1275046468,-0.5457570553
0.3397634327,-0.1412147284,-0.5794160366
0.3497669995,-0.1556404233,-0.6140716076
0.3597705662,-0.1708016396,-0.6498223543
0.3697741330,-0.1866424680,-0.6866044998
0.3797776997,-0.2031152844,-0.7244568467
0.3897812665,-0.2201710939,-0.7633726001
0.3997848332,-0.2377537489,-0.8033593893
0.4097883999,-0.2557955980,-0.8444114327
0.4197919667,-0.2742381692,-0.8865297437
0.4297955334,-0.2930048704,-0.9297145009
