0,1,2
0.0,0.9999922,-0.001870349
0.01,0.99998814,-0.0020277048
0.02,0.999976,-0.0021894714
0.03,0.99994886,-0.0023265618
0.04,0.99989665,-0.0024181143
0.049999997,0.9998064,-0.0024594797
0.06,0.999662,-0.0024626984
0.07,0.9994443,-0.0024529232
0.08,0.9991313,-0.0024604334
0.089999996,0.99869776,-0.0025106205
0.099999994,0.9981158,-0.00261767
0.11,0.99735487,-0.002784205
0.12,0.9963822,-0.003005218
0.13,0.99516284,-0.003274868
0.14,0.99365944,-0.003594943
0.14999999,0.9918324,-0.0039772443
0.16,0.98963964,-0.004443945
0.17,0.9870379,-0.005021984
0.17999999,0.98398215,-0.005743309
0.19,0.9804275,-0.0066370037
0.19999999,0.9763292,-0.007735608
0.21,0.97164357,-0.00907297
0.22,0.96632844,-0.01069211
0.22999999,0.96034354,-0.012646533
0.24,0.9536506,-0.015000333
0.25,0.9462149,-0.01782569
0.26,0.93800294,-0.021199264
0.26999998,0.92898357,-0.025197657
0.28,0.9191274,-0.029892717
0.29,0.9084055,-0.035350304
0.29999998,0.8967912,-0.04163023
0.31,0.8842593,-0.04878844
0.32,0.8707895,-0.056877613
0.32999998,0.85636663,-0.06595215
0.34,0.84098005,-0.07606764
0.35,0.8246267,-0.087282985
0.35999998,0.8073069,-0.0996633
0.37,0.7890223,-0.113276206
0.38,0.7697762,-0.12818962
0.39,0.74956626,-0.14446665
0.39999998,0.72838473,-0.16216007
0.41,0.7062156,-0.18130559
0.42,0.68303376,-0.2019218
0.42999998,0.6588009,-0.22401229
0.44,0.6334692,-0.24757187
0.45,0.6069816,-0.27259707
0.45999998,0.5792723,-0.29909793
0.47,0.5502686,-0.32710132
0.48,0.5198934,-0.35664603
0.48999998,0.48806015,-0.38777244
0.5,0.4546734,-0.4205005
0.51,0.4196231,-0.4548149
0.52,0.38278303,-0.49065852
0.53,0.34401584,-0.52793634
0.53999996,0.30317122,-0.56653905
0.55,0.2600766,-0.60635227
0.56,0.21450992,-0.64725053
0.57,0.16617931,-0.68906647
0.58,0.114757545,-0.7315728
0.59,0.05996329,-0.7744655
0.59999996,0.0015966389,-0.81722575
0.61,-0.06050265,-0.85887915
0.62,-0.12620965,-0.8979202
0.63,-0.19438864,-0.9325574
0.64,-0.26278564,-0.96099585
0.65,-0.3292466,-0.98179126
0.65999997,-0.39200592,-0.9944777
0.66999996,-0.4496276,-0.9997096
0.68,-0.5016241,-0.99867606
0.69,-0.5482203,-0.9926122
0.7,-0.589899,-0.9826081
0.71,-0.6272123,-0.9695431
0.71999997,-0.66070014,-0.9540877
0.72999996,-0.6908324,-0.9367502
0.74,-0.718007,-0.9179205
0.75,-0.74256635,-0.8978982
0.76,-0.7648081,-0.876911
0.77,-0.7849895,-0.8551269
0.78,-0.8033223,-0.8326726
0.78999996,-0.8199804,-0.80964386
0.79999995,-0.83510214,-0.7861187
0.81,-0.8488062,-0.76216036
0.82,-0.86119735,-0.73782086
0.83,-0.8723736,-0.7131419
0.84,-0.8824302,-0.6881536
0.84999996,-0.8914579,-0.6628758
0.85999995,-0.8995436,-0.63731766
