t,x,y
0.0000000000,0.0000000000,0.0000000874
0.0001000000,0.0000000000,0.0000000874
0.0100999903,-0.0000001192,-0.0005098899
0.0200999733,-0.0000020266,-0.0020197933
0.0300999563,-0.0000102520,-0.0045296117
0.0401001051,-0.0000323057,-0.0080395387
0.0501002744,-0.0000787377,-0.0125489831
0.0601004437,-0.0001630187,-0.0180572327
0.0701006129,-0.0003017187,-0.0245638546
0.0801007822,-0.0005142689,-0.0320664793
0.0901009515,-0.0008230209,-0.0405630916
0.1001011208,-0.0012532473,-0.0500731207
0.1101012900,-0.0018330812,-0.0605838075
0.1201014593,-0.0025932193,-0.0720993057
0.1301016212,-0.0035670996,-0.0846044198
0.1401017904,-0.0047903657,-0.0981152281
0.1501019597,-0.0063011050,-0.1126270816
0.1601021290,-0.0081390142,-0.1281357855
0.1701022983,-0.0103457570,-0.1446477324
0.1801024675,-0.0129638910,-0.1621583700
0.1901026368,-0.0160370469,-0.1806717962
0.2001028061,-0.0196087956,-0.2001850456
0.2101029754,-0.0237226486,-0.2206996530
0.2201031446,-0.0284212232,-0.2422172278
0.2301033139,-0.0337451100,-0.2647374868
0.2401034832,-0.0397335291,-0.2882630825
0.2501036227,-0.0464217067,-0.3127950430
0.2601023018,-0.0538417101,-0.3383351564
0.2701009810,-0.0620210171,-0.3648859859
0.2800996602,-0.0709819198,-0.3924512863
0.2900983393,-0.0807408690,-0.4210343361
0.3000970185,-0.0913078785,-0.4506384730
0.3100956976,-0.1026865840,-0.4812681973
0.3200943768,-0.1148734093,-0.5129294991
0.3300930560,-0.1278573871,-0.5456273556
0.3400917351,-0.1416204572,-0.5793668032
0.3500904143,-0.1561371088,-0.6141546369
0.3600890934,-0.1713747382,-0.6499931812
0.3700877726,-0.1872940660,-0.6868913174
0.3800864518,-0.2038490176,-0.7248520851
0.3900851309,-0.2209879160,-0.7638781667
0.4000838101,-0.2386528850,-0.8039720058
0.4100824893,-0.2567809820,-0.8451328278
0.4200811684,-0.2753041983,-0.8873578906
0.4300798476,-0.2941501141,-0.9306417704
0.4400785267,-0.3132410645,-0.9749761820
