t,x,y
2.6099998951,0.8715970516,0.4286786318
2.6199998856,0.8680968285,0.4303989112
2.6299998760,0.8644999862,0.4320716262
2.6399998665,0.8608070612,0.4336960614
2.6499998569,0.8570166826,0.4352713525
2.6599998474,0.8531284928,0.4367970824
2.6699998379,0.8491429090,0.4382728636
2.6799998283,0.8450590968,0.4396979213
2.6899998188,0.8408760428,0.4410714805
2.7000000477,0.8365936279,0.4423928857
2.7100000381,0.8322116733,0.4436616004
2.7200000286,0.8277299404,0.4448769093
2.7300000191,0.8231469989,0.4460379779
2.7400000095,0.8184627891,0.4471441507
2.7500000000,0.8136765957,0.4481945932
2.7599999905,0.8087874055,0.4491884708
2.7699999809,0.8037952185,0.4501253068
2.7799999714,0.7986992002,0.4510037601
2.7899999619,0.7934983969,0.4518228769
2.7999999523,0.7881924510,0.4525823295
2.8099999428,0.7827802896,0.4532807767
2.8199999332,0.7772610784,0.4539171457
2.8299999237,0.7716343403,0.4544907808
2.8399999142,0.7658987641,0.4550002515
2.8499999046,0.7600536346,0.4554446042
2.8599998951,0.7540981174,0.4558229148
2.8699998856,0.7480311394,0.4561338723
2.8799998760,0.7418516278,0.4563761353
2.8899998665,0.7355583310,0.4565485120
2.8999998569,0.7291505337,0.4566497207
2.9099998474,0.7226266265,0.4566783905
2.9199998379,0.7159861326,0.4566330016
2.9299998283,0.7092274427,0.4565121233
2.9399998188,0.7023485303,0.4563144743
2.9499998093,0.6953493357,0.4560380578
2.9600000381,0.6882272959,0.4556816220
2.9700000286,0.6809815764,0.4552429616
2.9800000191,0.6736101508,0.4547205567
2.9900000095,0.6661119461,0.4541123509
3.0000000000,0.6584846973,0.4534164369
3.0099999905,0.6507275105,0.4526305795
3.0199999809,0.6428377032,0.4517527223
3.0299999714,0.6348136067,0.4507803619
3.0399999619,0.6266532540,0.4497115910
3.0499999523,0.6183547378,0.4485433698
3.0599999428,0.6099156737,0.4472731948
3.0699999332,0.6013336778,0.4458982944
3.0799999237,0.5926064849,0.4444155693
3.0899999142,0.5837318301,0.4428220987
3.0999999046,0.5747063756,0.4411144555
3.1099998951,0.5655275583,0.4392893016
3.1199998856,0.5561928749,0.4373427629
3.1299998760,0.5466985106,0.4352709949
3.1399998665,0.5370416045,0.4330697358
3.1499998569,0.5272188187,0.4307347536
3.1599998474,0.5172269940,0.4282611609
3.1699998379,0.5070616007,0.4256440401
3.1799998283,0.4967183769,0.4228778780
3.1899998188,0.4861938357,0.4199571013
3.1999998093,0.4754830003,0.4168755114
3.2099997997,0.4645811021,0.4136264026
3.2200000286,0.4534830451,0.4102028608
3.2300000191,0.4421833158,0.4065964520
3.2400000095,0.4306761920,0.4027994275
3.2500000000,0.4189554453,0.3988026679
3.2599999905,0.4070146084,0.3945960701
3.2699999809,0.3948462307,0.3901691437
3.2799999714,0.3824428320,0.3855099976
3.2899999619,0.3697960973,0.3806053102
3.2999999523,0.3568972051,0.3754410148
3.3099999428,0.3437366486,0.3700014055
3.3199999332,0.3303037584,0.3642682433
3.3299999237,0.3165873587,0.3582226038
3.3399999142,0.3025749326,0.3518422544
3.3499999046,0.2882531881,0.3451016545
3.3599998951,0.2736072540,0.3379727602
3.3699998856,0.2586206198,0.3304232061
3.3799998760,0.2432755083,0.3224149644
3.3899998665,0.2275518924,0.3139046133
3.3999998569,0.2114274949,0.3048410714
3.4099998474,0.1948779523,0.2951633930
3.4199998379,0.1778749526,0.2847984433
3.4299998283,0.1603879035,0.2736572325
3.4399998188,0.1423819363,0.2616288662
3.4499998093,0.1238187999,0.2485738993
3.4599997997,0.1046565548,0.2343118042
3.4700000286,0.0848510712,0.2186016589
3.4800000191,0.0643604174,0.2011122555
3.4900000095,0.0431573018,0.1813659370
3.5000000000,0.0212630704,0.1586338431
3.5099999905,-0.0011474285,0.1317163110
3.5199999809,-0.0233694185,0.0984256715
3.5299999714,-0.0424143076,0.0542952977
3.5399999619,-0.0425922647,-0.0070646903
3.5499999523,0.0048835278,-0.0539819524
3.5599999428,0.0579638258,-0.0630720630
3.5699999332,0.1011745185,-0.0592595972
3.5799999237,0.1374501735,-0.0510882512
3.5899999142,0.1689958423,-0.0410814323
