0,1,2
0.0,-1.0,3.441912e-05
0.0,-0.98,2.8760871e-05
0.0,-0.96,2.3538247e-05
0.0,-0.94,1.875707e-05
0.0,-0.92,1.4417805e-05
0.0,-0.9,1.0519521e-05
0.0,-0.88,7.0480164e-06
0.0,-0.86,3.9944425e-06
0.0,-0.84,1.3425015e-06
0.0,-0.82,-9.2503615e-07
0.0,-0.8,-2.8449576e-06
0.0,-0.78,-4.4219196e-06
0.0,-0.76,-5.702488e-06
0.0,-0.74,-6.70366e-06
0.0,-0.72,-7.4503478e-06
0.0,-0.7,-7.959316e-06
0.0,-0.68,-8.235453e-06
0.0,-0.66,-8.253381e-06
0.0,-0.64,-7.985625e-06
0.0,-0.62,-7.340219e-06
0.0,-0.6,-6.20028e-06
0.0,-0.58,-4.400965e-06
0.0,-0.56,-1.7108396e-06
0.0,-0.54,2.1369196e-06
0.0,-0.52,7.4189156e-06
0.0,-0.5,1.4374498e-05
0.0,-0.48,2.3072585e-05
0.0,-0.46,3.3245888e-05
0.0,-0.44,4.399428e-05
0.0,-0.42,5.341554e-05
0.0,-0.4,5.8219302e-05
0.0,-0.38,5.361857e-05
0.0,-0.36,3.423961e-05
0.0,-0.34,-2.0917505e-06
0.0,-0.32,-4.3713488e-05
0.0,-0.3,-3.942009e-05
0.0,-0.28,0.0001578359
0.0,-0.26,0.00090455636
0.0,-0.24,0.0029769847
0.0,-0.22,0.007921256
0.0,-0.2,0.018555267
0.0,-0.18,0.039519552
0.0,-0.16,0.0775378
0.0,-0.14,0.14075892
0.0,-0.12,0.2365407
0.0,-0.1,0.36759657
0.0,-0.08,0.5275178
0.0,-0.06,0.69829625
0.0,-0.04,0.85268795
0.0,-0.02,0.96094334
0.0,0.0,0.999975
0.0,0.02,0.96109074
0.0,0.04,0.8528435
0.0,0.06,0.69838953
0.0,0.08,0.5275622
0.0,0.1,0.3676018
0.0,0.12,0.23642883
0.0,0.14,0.14061537
0.0,0.16,0.07752437
0.0,0.18,0.039678387
0.0,0.2,0.01880721
0.0,0.22,0.008153851
0.0,0.24,0.003115695
0.0,0.26,0.00093453936
0.0,0.28,0.00010655634
0.0,0.3,-0.00013013184
0.0,0.32,-0.0001375461
0.0,0.34,-7.616449e-05
0.0,0.36,-1.0304153e-05
0.0,0.38,3.9008446e-05
0.0,0.4,6.874651e-05
0.0,0.42,8.226978e-05
0.0,0.44,8.438155e-05
0.0,0.46,7.939804e-05
0.0,0.48,7.0611946e-05
0.0,0.5,6.0297083e-05
0.0,0.52,4.987791e-05
0.0,0.54,4.0167943e-05
0.0,0.56,3.1562056e-05
0.0,0.58,2.4178065e-05
0.0,0.6,1.7989893e-05
0.0,0.62,1.2875069e-05
0.0,0.64,8.687377e-06
0.0,0.66,5.2745454e-06
0.0,0.68,2.501998e-06
0.0,0.7,2.507586e-07
0.0,0.72,-1.5574042e-06
0.0,0.74,-2.9911753e-06
0.0,0.76,-4.081754e-06
0.0,0.78,-4.8608053e-06
0.0,0.8,-5.3336844e-06
0.0,0.82,-5.4875854e-06
0.0,0.84,-5.3173862e-06
0.0,0.86,-4.8112124e-06
0.0,0.88,-3.9369334e-06
0.0,0.9,-2.680812e-06
0.0,0.92,-1.0316726e-06
0.0,0.94,1.036562e-06
0.0,0.96,3.5339035e-06
0.0,0.98,6.471295e-06
0.003,-1.0,2.9657036e-05
0.003,-0.98,2.4416717e-05
0.003,-0.96,1.9608764e-05
0.003,-0.94,1.5235972e-05
0.003,-0.92,1.1292985e-05
0.003,-0.9,7.774681e-06
0.003,-0.88,4.666159e-06
0.003,-0.86,1.954846e-06
0.003,-0.84,-3.8323924e-07
0.003,-0.82,-2.3732428e-06
0.003,-0.8,-4.044734e-06
0.003,-0.78,-5.4133125e-06
0.003,-0.76,-6.5264758e-06
0.003,-0.74,-7.4026175e-06
0.003,-0.72,-8.073403e-06
0.003,-0.7,-8.545816e-06
0.003,-0.68,-8.827541e-06
0.003,-0.66,-8.894596e-06
0.003,-0.64,-8.689705e-06
0.003,-0.62,-8.146744e-06
0.003,-0.6,-7.107854e-06
0.003,-0.58,-5.41145e-06
0.003,-0.56,-2.82377e-06
0.003,-0.54,9.066425e-07
0.003,-0.52,6.0363673e-06
0.003,-0.5,1.2732111e-05
0.003,-0.48,2.0957086e-05
0.003,-0.46,3.0254014e-05
0.003,-0.44,3.9519276e-05
0.003,-0.42,4.6707224e-05
0.003,-0.4,4.8730522e-05
0.003,-0.38,4.211953e-05
0.003,-0.36,2.5564805e-05
0.003,-0.34,7.160008e-06
0.003,-0.32,2.1796674e-05
0.003,-0.3,0.00016906578
0.003,-0.28,0.0006891936
0.003,-0.26,0.0021030419
0.003,-0.24,0.0054456275
0.003,-0.22,0.012607627
0.003,-0.2,0.02674131
0.003,-0.18,0.052562337
0.003,-0.16,0.09619939
0.003,-0.14,0.16414183
0.003,-0.12,0.2610618
0.003,-0.1,0.3868434
0.003,-0.08,0.5337664
0.003,-0.06,0.6855113
0.003,-0.04,0.8194899
0.003,-0.02,0.9120409
0.003,0.0,0.9451622
0.003,0.02,0.91212153
0.003,0.04,0.81959784
0.003,0.06,0.6856049
0.003,0.08,0.5338062
0.003,0.1,0.3868504
0.003,0.12,0.26102185
0.003,0.14,0.16410321
0.003,0.16,0.0962337
0.003,0.18,0.052679874
0.003,0.2,0.026906148
0.003,0.22,0.012764832
0.003,0.24,0.0055450313
0.003,0.26,0.0021222616
0.003,0.28,0.00063851196
0.003,0.3,7.8246e-05
0.003,0.32,-7.6998025e-05
0.003,0.34,-7.587578e-05
0.003,0.36,-2.9428862e-05
0.003,0.38,1.7787796e-05
0.003,0.4,5.1513314e-05
0.003,0.42,7.015467e-05
0.003,0.44,7.661199e-05
0.003,0.46,7.470464e-05
0.003,0.48,6.781751e-05
0.003,0.5,5.8498234e-05
0.003,0.52,4.8472546e-05
0.003,0.54,3.8799364e-05
0.003,0.56,3.0056108e-05
0.003,0.58,2.2486318e-05
0.003,0.6,1.6128644e-05
0.003,0.62,1.0892749e-05
0.003,0.64,6.663613e-06
0.003,0.66,3.2605603e-06
0.003,0.68,5.478505e-07
0.003,0.7,-1.6007107e-06
0.003,0.72,-3.2875687e-06
0.003,0.74,-4.597474e-06
0.003,0.76,-5.576294e-06
0.003,0.78,-6.2519684e-06
0.003,0.8,-6.6452194e-06
0.003,0.82,-6.7590736e-06
0.003,0.84,-6.5707136e-06
0.003,0.86,-6.077811e-06
0.003,0.88,-5.259877e-06
0.003,0.9,-4.0836167e-06
0.003,0.92,-2.5453046e-06
0.003,0.94,-6.1350875e-07
0.003,0.96,1.7290004e-06
0.003,0.98,4.494097e-06
0.006,-1.0,2.5654212e-05
0.006,-0.98,2.0825537e-05
0.006,-0.96,1.6416889e-05
0.006,-0.94,1.243758e-05
0.006,-0.92,8.870382e-06
0.006,-0.9,5.7127327e-06
0.006,-0.88,2.944842e-06
0.006,-0.86,5.445909e-07
0.006,-0.84,-1.5129335e-06
0.006,-0.82,-3.2498501e-06
0.006,-0.8,-4.7041103e-06
0.006,-0.78,-5.8971345e-06
0.006,-0.76,-6.876653e-06
0.006,-0.74,-7.666182e-06
0.006,-0.72,-8.283649e-06
0.006,-0.7,-8.746516e-06
0.006,-0.68,-9.051058e-06
0.006,-0.66,-9.174924e-06
0.006,-0.64,-9.05199e-06
0.006,-0.62,-8.5835345e-06
0.006,-0.6,-7.635448e-06
0.006,-0.58,-6.0112216e-06
0.006,-0.56,-3.4882687e-06
0.006,-0.54,1.8719584e-07
0.006,-0.52,5.222857e-06
0.006,-0.5,1.1714641e-05
0.006,-0.48,1.9512605e-05
0.006,-0.46,2.8024893e-05
0.006,-0.44,3.6020298e-05
0.006,-0.42,4.1572377e-05
0.006,-0.4,4.2424537e-05
0.006,-0.38,3.7732534e-05
0.006,-0.36,3.292039e-05
0.006,-0.34,5.1416457e-05
0.006,-0.32,0.00016013067
0.006,-0.3,0.0005205665
0.006,-0.28,0.0014828993
0.006,-0.26,0.0037438422
0.006,-0.24,0.008581751
0.006,-0.22,0.018152423
